id,date,tweets,Emotions
1.1516478112360038e+17,2011-09-17,Scuba Diving May Help Paralyzed Vets,
1.1484610040969626e+17,2011-09-16,Gene Variant May Raise Death Risk After Heart Bypass,"2, , 3, 4"
1.1479710369959936e+17,2011-09-16,Fall Prone Seniors May Have Trouble Adjusting to Poorer Vision,"1, , 2, 2, 4, 5, 6, 3, 3, 3"
1.1477224694127411e+17,2011-09-16,Dementia Patients Seem to Benefit From Small Group Homes,"3, "
1.1477224541875405e+17,2011-09-16,Family of Four Has Their Genome Sequenced,
1.1477224353549517e+17,2011-09-16,Fear Proves Prime Motivator for Vaccinations,"3, "
1.147722387665879e+17,2011-09-16,Vaccinations Aren t Just for Kids,"3, "
1.147395270709248e+17,2011-09-16,Research Reveals Why Hungry People Get Cranky,"3, , 3, 3, 3, 3"
1.1473952583358874e+17,2011-09-16,Hysterectomies Not Well Understood by U S Women,"3, , 3, 5"
1.1473952428590285e+17,2011-09-16,Few Suicidal Teens Get the Help They Need,"3, "
1.1473950068873626e+17,2011-09-16,The 4 Best 3 Worst Sweeteners,"3, "
1.1473949934657536e+17,2011-09-16,How America Got So Fat and So Sick,"3, , 3"
1.1473949798341018e+17,2011-09-16,Radiation Nation,
1.147394966580265e+17,2011-09-16,Top 5 Pain Problems Solved,"2, "
1.147394938310656e+17,2011-09-16,Famous Vegetarians,"3, "
1.1469842934256435e+17,2011-09-16,U N Summit Seeks to Tame Non Communicable Diseases,"3, , 3, 3, 3"
1.1469842796263834e+17,2011-09-16,Accidental Medication Poisonings in Kids on the Rise,"3, , 3"
1.144848793281536e+17,2011-09-15,Wikipedia Accurate on Cancer Facts But Hard to Read Study,"3, , 3"
1.1448487819989811e+17,2011-09-15,Cholesterol Deposits Around Eyes Linked to Heart Risk,"3, , 3, 3, 3, 3"
1.1443629665878016e+17,2011-09-15,Enrollment Period for Medicare Starts Early This Year,"3, , 3, 3, 3, 3, 3, 3"
1.1443629558504653e+17,2011-09-15,An Apple a Day Really May Keep the Doctor Away,"3, , 3, 3"
1.1443629416318566e+17,2011-09-15,Problem Drinking Linked to Brain Damage,"2, , 3, 3"
1.1441184658857165e+17,2011-09-15,Officials Tackle Multidrug Resistant TB in Europe,"2, , 2, 3, 3"
1.1441184558194278e+17,2011-09-15,Doctors Urged to Lead Battle Against Alcohol Abuse,"3, , 3, 3"
1.1437962801302733e+17,2011-09-15,Lung Cancer Rates Begin to Decline for U S Women,"3, "
1.1437962686798234e+17,2011-09-15,Flu Killed 115 Children Last Season CDC,"4, "
1.1437962487150182e+17,2011-09-15,Not Enough Kids Drink Low Fat Milk U S Study Finds,
1.1437962259400294e+17,2011-09-15,ADHD Doubles a Child s Risk of Injury Study,"3, "
1.1432976145044275e+17,2011-09-15,Certain Senior Moments May Signal Mental Decline,
1.1432976031376998e+17,2011-09-15,Heavy Drinking Ups Odds of Death in House Fire,"3, , 3, 3"
1.1412518145007206e+17,2011-09-14,Breast Cancer Rates Jump Worldwide Study Finds,"3, , 3"
1.140933583386706e+17,2011-09-14,Tailored Hepatitis C Therapy May Cut Treatment Time in Half,"1, , 3, 3, 3, 3"
1.140933573110702e+17,2011-09-14,Older Women Can Benefit From Sex Ed Campaigns,
1.1409335596888883e+17,2011-09-14,Drinking Patterns Affect Heart Health Mouse Study Finds,"3, , 3, 3, 3"
1.1407717290123264e+17,2011-09-14,Quitting Smoking May Improve Personality Study Suggests,"3, , 3, 3, 3"
1.1407717121511424e+17,2011-09-14,Trouble With Math Blame Your Lack of Numbers Sense,
1.1405301307265434e+17,2011-09-14,Health Experts Say HPV Vaccine Is Safe,"3, "
1.1405301192341094e+17,2011-09-14,Rural Stroke Victims May Benefit From Virtual Care,"3, "
1.1402024853294285e+17,2011-09-14,Pregnant Women Reminded to Get Flu Vaccine,"2, , 3"
1.14020246603563e+17,2011-09-14,Erectile Dysfunction May Be Linked With Cardiovascular Trouble,"3, "
1.1397163138220032e+17,2011-09-14,Certain Risk Factors Could Spur Heart Failure in Normal Weight People,"3, , 3, 3, 3"
1.1397163004422963e+17,2011-09-14,Sudden Cardiac Arrest More Common in Poorer Neighborhoods,"3, "
1.1375863191215309e+17,2011-09-13,More Mammograms Equal More Mastectomies Study,"3, "
1.1370991505861018e+17,2011-09-13,Driving Restrictions Help Prevent Deadly Crashes Among 16 Year Olds,"3, , 3, 4, 4, 4"
1.1370991365770854e+17,2011-09-13,Heart Defect Seems to Pose Low Risk of Aorta Tear,"3, "
1.1370991124178944e+17,2011-09-13,Screening Lots of Lymph Nodes Little Help for Colon Cancer Patients,"3, , 3"
1.1370990971087667e+17,2011-09-13,Lifestyle Changes May Prevent Heart Failure,"3, , 3, 3, 3, 3"
1.136854771812311e+17,2011-09-13,U S Seeks to Prevent 1 Million Heart Attacks Strokes,"3, , 3, 3, 3, 4"
1.1368547443397018e+17,2011-09-13,Newly Found Gene Mutations May Aid Heart Treatments,"3, "
1.1368547250877235e+17,2011-09-13,Statins Don t Raise Risk of Brain Bleeds After Stroke Study,
1.1368547112047002e+17,2011-09-13,Muscle Training May Benefit Chronic Heart Failure Patients,"3, , 3"
1.1365323161955533e+17,2011-09-13,366 Million People Now Have Diabetes Report,"4, "
1.1365323039061197e+17,2011-09-13,Many Alzheimer s Cases Go Unrecognized Report,"3, , 3"
1.1365322870450995e+17,2011-09-13,Blacks Develop High Blood Pressure a Year Ahead of Whites,"1, , 3, 4"
1.1365322550843802e+17,2011-09-13,Protecting Heart May Improve Erectile Dysfunction,"1, , 2, 6, 2, 3, 3, 3, 3"
1.1360341428549632e+17,2011-09-13,New Drug Boosts Good Cholesterol in Study Patients,"3, "
1.1360341314884403e+17,2011-09-13,Fear of Antidepressants Keep Many From Disclosing Depression,"2, , 3, 3, 4, 5"
1.136034117479383e+17,2011-09-13,Brain Blood Flow Abnormalities Persist in Gulf War Vets,"4, , 5"
1.1339293701400166e+17,2011-09-12,IUDs May Lower Women s Risk for Cervical Cancer Study,"3, , 4"
1.1336853429747712e+17,2011-09-12,Heart Devices Like Pacemakers Linked to Infections,"1, , 2, 6, 3, 3, 3, 4"
1.1336853196126208e+17,2011-09-12,Eye Antibiotics Can Cause Drug Resistant Bacteria Study,"2, , 3, 3, 3"
1.1335188954179994e+17,2011-09-12,NSAID Painkillers Linked to Risk of Kidney Cancer,"4, , 6"
1.1335188829189325e+17,2011-09-12,Public Often Unaware of a Drug s Safety Record Or Lack of One,"1, , 3, 3"
1.1335188703361024e+17,2011-09-12,High Cholesterol Might Be Linked to Alzheimer s Disease,"3, , 3"
1.133518859472814e+17,2011-09-12,Testosterone Levels Seem to Fall With Fatherhood,"3, , 3, 3, 3"
1.133518848987095e+17,2011-09-12,Insulin Spray May Improve Alzheimer s Symptoms,"3, , 3, 3, 3, 5"
1.1331818192542925e+17,2011-09-12,Is SpongeBob Too Much for Young Minds,"3, "
1.1331818026449306e+17,2011-09-12,Lifetime Dose of Excess Weight Linked to Diabetes Risk,"3, "
1.1329348731469824e+17,2011-09-12,Women With BRCA Mutations Get Cancer Diagnosis Earlier Than Before,"3, , 4"
1.132439252921385e+17,2011-09-12,Linking Pharmacies With Doctors Offices Can Improve Med Adherence Study,"3, , 3, 3, 3, 3, 3, 6"
1.1324392407159194e+17,2011-09-12,When a Parent Dies Suddenly Child s Grief May Persist,
1.1324392272941056e+17,2011-09-12,Virtual Colonoscopy Still Has Its Skeptics,"3, , 3, 4, 6"
1.1288080107872256e+17,2011-09-11,9 11 Left Permanent Scars on the American Psyche,"3, , 3, 3, 3"
1.1252353461348352e+17,2011-09-10,Parents Positive Attitude Can Help Kids Get Homework Done,"3, , 3, 3"
1.1252353079666278e+17,2011-09-10,College Students Not Getting Enough Z s,"3, "
1.1228247943559578e+17,2011-09-09,College Football Players Get Bigger Stronger With Age,"3, , 3, 3, 3, 3"
1.1226644857920717e+17,2011-09-09,Over Half of Adverse Drug Reactions in Hospitals Are Preventable Study,"1, , 3, 3, 3, 3, 3, 3, 3, 3"
1.122664473418834e+17,2011-09-09,Narcissists Make Horrible Bosses Study,
1.1223319919474688e+17,2011-09-09,States Get Creative in Raising Money for Breast Cancer Programs,"3, , 3, 3, 3, 4"
1.122331979490386e+17,2011-09-09,Talking or Not Talking Can Give Cancer Patients a Sense of Control,"3, , 3"
1.1220092459169792e+17,2011-09-09,Children More Likely to Drink Drive if Parents Drink Study,
1.1220092343826022e+17,2011-09-09,New Approach to Treating Asthma in Pregnancy,"3, , 3"
1.1220092197024973e+17,2011-09-09,A Little Dirt May Be a Good Thing,
1.1216005215617843e+17,2011-09-09,Osteoporosis Drugs Safety Subject of FDA Panel,"3, "
1.1216005021002957e+17,2011-09-09,For Many Americans 9 11 Worries Still Dominate,"3, , 3, 3, 3, 4"
1.1216004847777382e+17,2011-09-09,Bad Body Odor May Be Caused by Metabolic Disorder,"3, , 3, 3"
1.1194862442186342e+17,2011-09-08,Risk for COPD Higher Than Thought Study,"3, , 3"
1.1194862289512448e+17,2011-09-08,When Protecting Baby Becomes an Obsession,"1, , 2, 6, 1, 2, 6, 2, 3, 3"
1.1191487630528102e+17,2011-09-08,Black Children May Be More Prone to Peanut Allergy Study Finds,"3, , 4"
1.1190608833662566e+17,2011-09-08,For Women Moderate Midlife Drinking Linked to Healthier Old Age,"3, , 3, 3, 3, 3"
1.1187312399287091e+17,2011-09-08,Rising Health Care Costs Hitting Family Pocketbooks,"2, , 3, 4"
1.1187312290234368e+17,2011-09-08,Two Doses of HPV Vaccine May Work as Well as Three,"5, "
1.1187312103169638e+17,2011-09-08,Losing Child in First Year Might Raise Early Death Risk for Parent,"3, , 3, 4"
1.1184066049513882e+17,2011-09-08,More U S Adults Using Illegal Drugs Report,"2, , 3, 3, 3, 4"
1.1184065909424128e+17,2011-09-08,New X Rays Offer Clues on Evolution of the Human Brain,"3, "
1.1184065746685952e+17,2011-09-08,Big Health Plans Can Negotiate Lower Hospital Costs Study,"4, "
1.118406560911278e+17,2011-09-08,9 11 a Life Defining Day for the Young,"3, , 3"
1.1184065180874342e+17,2011-09-08,Weight Watchers Produces Bigger Losers Than Standard Weight Loss Care,"1, , 3"
1.1179900518859571e+17,2011-09-08,Big Health Plans Can Negotiate Lower Hospital Costs Study,"4, "
1.1179900144728474e+17,2011-09-08,9 11 a Life Defining Day for the Young,"3, , 3"
1.1160206726045286e+17,2011-09-08,Weight Watchers Produces Bigger Losers Than Standard Weight Loss Care,"1, , 3"
1.116020658217984e+17,2011-09-08,TNF Treatment for Rheumatoid Arthritis Boosts Skin Cancer Risk,"3, , 3"
1.1160206433702707e+17,2011-09-08,Extra Pounds a Deadly Risk Factor for Black Women Study,"3, , 3, 3, 4"
1.1160206072572314e+17,2011-09-08,Harassment of Black Gay and Bisexual Men Tied to Anxiety,"3, , 3, 3, 6, 4, 4"
1.1160205916545024e+17,2011-09-08,Firearm Suicide Methods Vary by Gender Study,"4, , 4"
1.1157748623986688e+17,2011-09-07,Extra Pounds a Deadly Risk Factor for Black Women Study,"3, , 3, 3, 4"
1.1157748486832538e+17,2011-09-07,Harassment of Black Gay and Bisexual Men Tied to Anxiety,"3, , 3, 3, 6, 4, 4"
1.1156107265743258e+17,2011-09-07,Firearm Suicide Methods Vary by Gender Study,"4, , 4"
1.1156107160048026e+17,2011-09-07,Abusers May Play on Victims Emotions to Get Charges Dropped,"3, , 3, 3, 3, 3"
1.1156107022474035e+17,2011-09-07,Meds Better Than Stent for Preventing Second Stroke Study,"3, , 3, 3, 4"
1.1156106873576243e+17,2011-09-07,Don t Mess With a Nursing Mom,"3, , 4"
1.115610676578304e+17,2011-09-07,Switch to Powder Free Latex Gloves Cuts Health Workers Allergy Risk,"2, , 3"
1.1152904748965069e+17,2011-09-07,Do This Mind Your Waistline Not Your Manners As you make the rounds of holiday parties remind yourself,"3, , 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3"
1.1152868162890547e+17,2011-09-07,Meds Better Than Stent for Preventing Second Stroke Study,"3, , 3, 3, 4"
1.1152868001410253e+17,2011-09-07,Don t Mess With a Nursing Mom,"3, , 4"
1.1152867751429734e+17,2011-09-07,Switch to Powder Free Latex Gloves Cuts Health Workers Allergy Risk,"2, , 3"
1.115286748383273e+17,2011-09-07,Parents Who Smoke at Home May Risk Kids Academic Success,
1.1152866981774131e+17,2011-09-07,Teens College Age Youth at High Risk of Suicide Expert Says,"3, , 3, 3"
1.1147986084889805e+17,2011-09-07,Parents Who Smoke at Home May Risk Kids Academic Success,
1.1147985947316634e+17,2011-09-07,Teens College Age Youth at High Risk of Suicide Expert Says,"3, , 3, 3"
1.1147401851896218e+17,2011-09-07,14 Habits of Healthy Men,"3, , 4"
1.1147401471891866e+17,2011-09-07,Surprising New Uses for Common Remedies,"3, , 3, 4, 4"
